Número 1: 6, Número 2: 6, Número 3: 6
Número 1: 3, Número 2: 3, Número 3: 3
Número 1: 2, Número 2: 2, Número 3: 2
Número 1: 2, Número 2: 2, Número 3: 2
Número 1: 3, Número 2: 3, Número 3: 4
Número 1: 3, Número 2: 3, Número 3: 3
Número 1: 5, Número 2: 5, Número 3: 5
Número 1: 4, Número 2: 4, Número 3: 4
Número 1: 4, Número 2: 4, Número 3: 4
Número 1: 3, Número 2: 3, Número 3: 3
Número 1: 4, Número 2: 4, Número 3: 4
Número 1: 4, Número 2: 5, Número 3: 6
Número 1: 5, Número 2: 6, Número 3: 7
Número 1: 4, Número 2: 5, Número 3: 6
